head/coords/0,head/coords/1,lankle/coords/0,lankle/coords/1,lelbow/coords/0,lelbow/coords/1,lhip/coords/0,lhip/coords/1,lknee/coords/0,lknee/coords/1,lshoulder/coords/0,lshoulder/coords/1,lwrist/coords/0,lwrist/coords/1,pelvis/coords/0,pelvis/coords/1,rankle/coords/0,rankle/coords/1,relbow/coords/0,relbow/coords/1,rhip/coords/0,rhip/coords/1,rknee/coords/0,rknee/coords/1,rshoulder/coords/0,rshoulder/coords/1,rwrist/coords/0,rwrist/coords/1,thorax/coords/0,thorax/coords/1,upperneck/coords/0,upperneck/coords/1
277.0931622,37.81082176,316.9888499,415.6222918,379.8703386,123.394089,315.9066771,238.4502413,324.6709824,333.7552832,317.6271437,117.0951462,437.1381376,115.3159712,300.5066298,236.7650989,275.3646848,433.7879469,231.7479514,125.494423,289.0148736,250.2590182,285.9978675,341.89888,268.5944941,119.9876787,200.6809997,115.7240294,287.7898022,116.7717741,292.5141338,98.49212672
277.099056,37.64823936,316.9405939,415.747776,378.9144518,124.0280915,316.4391136,238.3525466,324.8265459,333.8150406,318.080311,116.588135,435.0970458,116.4218522,300.4749677,236.5205005,275.2930067,433.8398931,229.3498995,126.4365766,288.6456678,250.0881389,286.2380794,342.0565606,268.5474778,119.6788403,194.3097306,118.2757952,287.5785638,116.4354323,292.9564474,98.108368
277.089863,37.27939584,316.9235232,415.8661363,377.8984832,124.6292493,316.9322016,238.3134842,324.9482342,333.910599,318.420048,116.0967258,432.9195782,117.4576186,300.5160902,236.3241574,275.23056,433.8729382,227.1744154,127.5057984,288.3858682,249.960823,286.4826963,342.1157075,268.4621619,119.2670438,188.7038234,121.0219955,287.4482918,116.1013414,293.4752083,97.69592256
277.0514106,36.76113152,316.9353869,415.9642029,376.8198016,125.182953,317.3568154,238.307991,325.0182342,334.0291974,318.6152646,115.6418227,430.5801773,118.4338758,300.621033,236.1654662,275.1801299,433.8803098,225.1212691,128.6223219,288.2415392,249.8776819,286.7144205,342.0808602,268.3332826,118.7500762,183.7588499,123.8131712,287.3937798,115.7880781,294.0363309,97.28443136
276.9798662,36.17000576,316.9700243,416.0290144,375.661392,125.6825254,317.6933478,238.3094022,325.0210573,334.1584966,318.6500358,115.2425005,428.0560685,119.3702701,300.7703206,236.0312653,275.1394842,433.8588717,223.0956077,129.7158816,288.1958579,249.8308947,286.9150733,341.9663046,268.1660077,118.1476973,179.3526458,126.5116883,287.397232,115.5091098,294.6032525,96.90250368
276.8810656,35.58677696,317.0182803,416.0492326,374.3934253,126.1318208,317.9331782,238.2964326,324.9474336,334.2848397,318.5264966,114.9145888,425.3327942,120.2921677,300.9376909,235.909271,275.1023674,433.8095853,221.0297203,130.7339859,288.212471,249.8064992,287.067127,341.793785,267.9758835,117.4977875,175.3617856,129.0102003,287.4344064,115.2728269,295.1417542,96.5756608
276.768608,35.08098624,317.0695117,416.0169888,372.9776762,126.5451814,318.0777171,238.2581709,324.7968672,334.3920326,318.2640454,114.6680448,422.4080275,121.2250522,301.094761,235.7923891,275.0606726,433.7373734,218.8969421,131.644592,288.2443046,249.7883795,287.1556474,341.589527,267.7859494,116.8474963,171.6753958,131.2428666,287.4801824,115.0831987,295.6235315,96.32350912
276.6613005,34.69882944,317.1128461,415.9296512,371.373863,126.9448474,318.1352045,238.1976698,324.5787814,334.4631955,317.8949165,114.504585,419.2934035,122.1886061,301.2155725,235.6818387,275.0072858,433.6504269,216.714935,132.4330522,288.245392,249.7633933,287.1701242,341.3803674,267.6222227,116.242256,168.2054899,133.1889722,287.5124934,114.9407194,296.0280038,96.15810368
276.5807533,34.45701568,317.1384051,415.7910726,369.5463181,127.3565677,318.1168557,238.1323245,324.3109894,334.4861414,317.4572947,114.4165805,416.0139085,123.1916806,301.280041,235.588951,274.9381638,433.5589696,214.5391085,133.0968474,288.1817434,249.7263526,287.1067046,341.1900518,267.5089453,115.7161715,164.8934938,134.8690413,287.5148966,114.8442842,296.3427354,96.08222976
276.5495302,34.34322368,317.1384237,415.6116294,367.4710848,127.8043744,318.0340576,238.0911258,324.0159987,334.4608877,316.988487,114.388695,412.6064301,124.2297363,301.2759782,235.534439,274.8538208,433.473959,212.4490931,133.6410906,288.0383302,249.6828845,286.9701197,341.0357286,267.4644467,115.2857971,161.7119597,136.3352966,287.4783898,114.7923277,296.5633395,96.0893632
